Value, Category, Count,  Acreage
1, Corn,227890,50681.5
5, Soybeans,28,6.2
6, Sunflowers,169,37.6
12, Sweet Corn,12739,2833.1
14, Mint,6323,1406.2
21, Barley,728,161.9
23, Spring Wheat,33606,7473.8
24, Winter Wheat,102521,22800.1
27, Rye,53,11.8
28, Oats,2619,582.5
31, Canola,646,143.7
33, Safflower,1,0.2
35, Mustard,20,4.4
36, Alfalfa,192466,42803.4
37, Other Hay/Non Alfalfa,73682,16386.5
39, Buckwheat,129,28.7
41, Sugarbeets,12,2.7
42, Dry Beans,1881,418.3
43, Potatoes,20792,4624
44, Other Crops,1024,227.7
47, Misc Vegs & Fruits,1,0.2
48, Watermelons,11,2.4
49, Onions,692,153.9
51, Chick Peas,4,0.9
52, Lentils,207,46
53, Peas,1932,429.7
55, Caneberries,306,68.1
56, Hops,226122,50288.3
57, Herbs,26146,5814.7
58, Clover/Wildflowers,29,6.4
59, Sod/Grass Seed,2817,626.5
61, Fallow/Idle Cropland,272291,60556.1
66, Cherries,78231,17398.2
67, Peaches,4615,1026.4
68, Apples,353339,78580.7
69, Grapes,296852,66018.3
70, Christmas Trees,268,59.6
76, Walnuts,33,7.3
77, Pears,27750,6171.5
176, Grass/Pasture,225431,50134.6
205, Triticale,12585,2798.8
206, Carrots,2644,588
207, Asparagus,2727,606.5
208, Garlic,1,0.2
216, Peppers,39,8.7
219, Greens,112,24.9
220, Plums,319,70.9
222, Squash,140,31.1
223, Apricots,1049,233.3
225, Dbl Crop WinWht/Corn,352,78.3
226, Dbl Crop Oats/Corn,2,0.4
229, Pumpkins,1096,243.7
237, Dbl Crop Barley/Corn,136,30.2
242, Blueberries,7228,1607.5
243, Cabbage,15,3.3
